Code,Comments,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
,!Marriage,,,,,,,,,,,,,,,,,,
,!Aggression,,,,,,,,,,,,,,,,,,
,!Diplomacy,,,,,,,,,,,,,,,,,,
,!Help and Conflicts,,,,,,,,,,,,,,,,,,
,!Vassalage,,,,,,,,,,,,,,,,,,
,!Shadow Actions,,,,,,,,,,,,,,,,,,
,!Trade Gift Invite Slander,,,,,,,,,,,,,,,,,,
,!Village And Bnadit Camp,,,,,,,,,,,,,,,,,,
,!Captured,,,,,,,,,,,,,,,,,,
,"!Horde, Union, Neutrality",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
hint_unavailable_already_sent_help,,,"Уже прислали помощь
Ваша армия уже прибыла в город и готова оборонять его.","Help has already arrived
Your army has already arrived in the city and is ready to defend it.","Help has already arrived
Your army has already arrived in the city and is ready to defend it.","Pomoc už dorazila
Tvoje vojsko už dorazilo do města a je připraveno ho bránit.","A ajuda chegou
Seu exército já chegou na cidade e está pronto para defendê-la.","La ayuda ya ha llegado
Tu ejército ya ha llegado a la ciudad y está listo para defenderla.","Pomoc przybyła
Twoja armia przybyła do miasta i jest gotowa go bronić.","援兵已到
你的军队已到达城市，整装待战。","援軍抵達
你的軍隊已抵達城邦且準備好要予以防衛。","救援はすでに到着している
プレイヤーの軍隊はすでに街に到着し、街を守る準備ができています。","이미 지원군이 도착했습니다
이미 당신의 군대가 도시에 도착하여 방어할 준비를 마쳤습니다.","Hilfe ist bereits eingetroffen
Deine Armee ist bereits in der Stadt eingetroffen und ist bereit, diese zu verteidigen.","Les renforts sont arrivés 
Votre armée est déjà présente dans la cité et est prête à la défendre.","Rinforzi già arrivati
Il tuo esercito è già arrivato in città ed è pronto a difenderla.","Yardım geldi
Ordun şehre geldi ve şehri savunmaya hazır.","A segítség már megérkezett
A hadsereged már megérkezett a városba, és felkészült a védelemre.","Допомога вже прибула
Ваше військо вже прибуло до міста й готове його захищати."
