Code,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
,,,,,,,,,,,,,,,,,,
hint_mind_caption,,Мысль,Thought,Thought,Myšlenka,Pensamento,Pensamiento,Myśl,想法,想法,思考,생각,Gedanke,Impression,Pensiero,Düşünce,Gondolat,Думка
hint_mind_remain_time,,"~
{optional_remain_time_hours}","~
{optional_remain_time_hours}","~
{optional_remain_time_hours}","~
Vyprší za {remain_time_hours} hod.","~
{optional_remain_time_hours}","~
Expira en {remain_time_hours} horas.","~
Wygasa za {remain_time_hours} h.","~
{optional_remain_time_hours}","~
{optional_remain_time_hours}","~
{optional_remain_time_hours}","~
{optional_remain_time_hours}","~
{optional_remain_time_hours}","~
{optional_remain_time_hours}","~
{optional_remain_time_hours}","~
{optional_remain_time_hours}","~
Lejár {remain_time_hours} óra múlva.","~
Спливає через {remain_time_hours} год."
hint_mind_abuse,,"[hint_mind_caption]
Меня <hint=hint_speech_insult>оскорбили</hint> меня и я чувствую себя униженным!
[hint_mind_remain_time]","[hint_mind_caption]
I have been <hint=hint_speech_insult>insulted</hint> and I feel humiliated!
[hint_mind_remain_time]","[hint_mind_caption]
I have been <hint=hint_speech_insult>insulted</hint> and I feel humiliated!
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_speech_insult>Urazili</hint> mě a teď se cítím potupeně!
[hint_mind_remain_time]","[hint_mind_caption]
 <hint=hint_speech_insult>Insultaram-me</hint>! Mas que humilhação!
[hint_mind_remain_time]","[hint_mind_caption]
¡Me han <hint=hint_speech_insult>insultado</hint>, qué humillación!
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_speech_insult>Obrażono mnie</hint> i czuję poniżenie!
[hint_mind_remain_time]","[hint_mind_caption]
我被<hint=hint_speech_insult>侮辱</hint>了，我感到颜面尽失！
[hint_mind_remain_time]","[hint_mind_caption]
我受到了<hint=hint_speech_insult>侮辱</hint>，顏面盡失！
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_speech_insult>侮辱</hint>され、屈辱を感じている！
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_speech_insult>모욕당해서</hint> 정말 수치스럽군!
[hint_mind_remain_time]","[hint_mind_caption]
Ich wurde <hint=hint_speech_insult>beleidigt</hint> und fühle mich erniedrigt!
[hint_mind_remain_time]","[hint_mind_caption]
J'ai reçu des <hint=hint_speech_insult>insultes</hint>. Quelle humiliation !
[hint_mind_remain_time]","[hint_mind_caption]
Ho ricevuto un <hint=hint_speech_insult>insulto</hint>, che umiliazione!
[hint_mind_remain_time]","[hint_mind_caption]
Bana <hint=hint_speech_insult>hakaret edildi</hint> ve gururum kırıldı!
[hint_mind_remain_time]","[hint_mind_caption]
<hint=hint_speech_insult>Megsértettek</hint>, és megalázva érzem magam!
[hint_mind_remain_time]","[hint_mind_caption]
Мене <hint=hint_speech_insult>образили</hint>. Яке приниження!
[hint_mind_remain_time]"
hint_mind_agnostic,,"[hint_mind_caption]
Я сомневаюсь, что Мать София действительно создала этот жестокий мир...

Причина: <hint=hint_persons_agnostic>Агностик</hint>","[hint_mind_caption]
I doubt that Mother Sophia truly created this cruel world...

Reason: <hint=hint_persons_agnostic>Agnostic</hint>.","[hint_mind_caption]
I doubt that Mother Sophia truly created this cruel world...

Reason: <hint=hint_persons_agnostic>Agnostic</hint>.","[hint_mind_caption]
Pochybuju, že tento krutý svět opravdu stvořila Matka Sofie...

Důvod: <hint=hint_persons_agnostic>Agnostik</hint>.","[hint_mind_caption]
Duvido que a Mãe Sofia tenha realmente criado este mundo cruel...

Motivo: personagem <hint=hint_persons_agnostic>Agnóstico</hint>.","[hint_mind_caption]
Dudo que la Madre Sophia creara realmente este mundo tan cruel...

Motivo: <hint=hint_persons_agnostic>agnóstico</hint>.","[hint_mind_caption]
Wątpię, żeby to Święta Zofia stworzyła tak okrutny świat…

Powód: <hint=hint_persons_agnostic>agnostycyzm</hint>.","[hint_mind_caption]
这么残酷的世界，真的是圣母索菲亚所创造的吗？我不信……

原因：<hint=hint_persons_agnostic>不可知论者</hint>。","[hint_mind_caption]
我懷疑聖母索菲亞是否真創造了如此殘酷的世界……

原因：<hint=hint_persons_agnostic>懷疑論者</hint>。","[hint_mind_caption]
聖母ソフィアが本当にこの残酷な世界をお創りになったのだろうか...

理由：<hint=hint_persons_agnostic>無神論者</hint>","[hint_mind_caption]
정말로 성모 소피아가 이 잔혹한 세상을 창조한 건지 의심스러워...

이유: <hint=hint_persons_agnostic>불가지론자</hint>.","[hint_mind_caption]
Ich bezweifle, dass Mutter Sophia diese grausame Welt wirklich erschaffen hat ...

Grund: <hint=hint_persons_agnostic>Agnostiker</hint>.","[hint_mind_caption]
Je ne pense pas que Mère Sophia ait réellement pu créer un monde si cruel… 

Raison : <hint=hint_persons_agnostic>agnosticisme</hint>.","[hint_mind_caption]
Dubito che sia stata Madre Sofia a creare questo mondo crudele...

Motivo: <hint=hint_persons_agnostic>agnosticismo</hint>.","[hint_mind_caption]
Sophia Ana'nın böyle acımasız bir dünya yarattığına inanmıyorum.

Nedeni: <hint=hint_persons_agnostic>Agnostik</hint>.","[hint_mind_caption]
Kételkedem, hogy valóban Szófia Anya teremtette ezt a kegyetlen világot…

Az oka: <hint=hint_persons_agnostic>Agnosztikus</hint>.","[hint_mind_caption]
Сумніваюся, що Мати Софія дійсно створила цей жорстокий світ…

Причина: <hint=hint_persons_agnostic>агностик</hint>."
hint_mind_battle_commander_bonus,,"[hint_mind_caption]
Я чувствую себя уверенно под <hint=hint_skill_command>командованием</hint> такого командира, как {name}","[hint_mind_caption]
I feel confident under the <hint=hint_skill_command>command</hint> of a commander like {name}.","[hint_mind_caption]
I feel confident under the <hint=hint_skill_command>command</hint> of a commander like {name}.","[hint_mind_caption]
Pod <hint=hint_skill_command>vedením</hint> velitele, jako je {name}, si věřím.","[hint_mind_caption]
Sinto confiança sob o <hint=hint_skill_command>Comando</hint> de alguém como {name}.","[hint_mind_caption]
Siento seguridad bajo el <hint=hint_skill_command>mando</hint> de un comandante como {name}.","[hint_mind_caption]
Czuję pewność siebie pod <hint=hint_skill_command>dowództwem</hint> kogoś takiego jak {name}.","[hint_mind_caption]
有{name}这样的指挥官做<hint=hint_skill_command>指挥</hint>，我感到信心十足。","[hint_mind_caption]
在{name}這種指揮官麾下接受<hint=hint_skill_command>指揮</hint>令我信心十足。","[hint_mind_caption]
{name}のような司令官の<hint=hint_skill_command>命令</hint>を受けているから、自信が持てる。","[hint_mind_caption]
{name}처럼 우수한 지휘관의 <hint=hint_skill_command>명령</hint>을 받으면 자신감이 생겨.","[hint_mind_caption]
Ich fühle mich unter dem <hint=hint_skill_command>Kommando</hint> von Kommandanten wie {name} sehr zuversichtlich.","[hint_mind_caption]
J'ai confiance en la capacité à <hint=hint_skill_command>commander</hint> d'un général comme {name}.","[hint_mind_caption]
Mi sento al sicuro sotto il <hint=hint_skill_command>comando</hint> di un comandante come {name}.","[hint_mind_caption]
{name} gibi bir kumandanın <hint=hint_skill_command>komuta</hint> becerisine güveniyorum.","[hint_mind_caption]
Magabiztosnak érzem magam egy olyan parancsnok <hint=hint_skill_command>parancsnoksága</hint> alatt, mint {name}.","[hint_mind_caption]
Я почуваюся впевнено під <hint=hint_skill_command>командуванням</hint> такого командира, як {name}."
hint_mind_battle_commander_dead,,"[hint_mind_caption]
Кажется, надо бежать, пока не поздно!","[hint_mind_caption]
We had better run before it's too late!","[hint_mind_caption]
We had better run before it's too late!","[hint_mind_caption]
Měli bychom utéct, než bude příliš pozdě!","[hint_mind_caption]
Melhor corrermos antes que seja tarde demais!","[hint_mind_caption]
¡Será mejor que corramos antes de que sea demasiado tarde!","[hint_mind_caption]
Lepiej uciekać, zanim będzie za późno!","[hint_mind_caption]
快跑，再晚就来不及了！","[hint_mind_caption]
再不跑就來不及了！","[hint_mind_caption]
手遅れになる前に逃げた方がいい！","[hint_mind_caption]
늦기 전에 빨리 도망치는 게 좋겠어!","[hint_mind_caption]
Wir sollten besser flüchten, ehe es zu spät ist!","[hint_mind_caption]
Fuyons, avant qu'il ne soit trop tard !","[hint_mind_caption]
Meglio scappare prima che sia troppo tardi!","[hint_mind_caption]
Çok geç olmadan kaçmalıyız!","[hint_mind_caption]
Jobb, ha menekülünk, mielőtt túl késő lenne!","[hint_mind_caption]
Тікаймо, поки не пізно!"
hint_mind_battle_commander_retreat,,"[hint_mind_caption]
Что же нам делать? Похоже, победы нам не видать! ","[hint_mind_caption]
What should we do? Victory appears out of reach for us!","[hint_mind_caption]
What should we do? Victory appears out of reach for us!","[hint_mind_caption]
Co máme dělat? Zdá se, že nemáme šanci vyhrát!","[hint_mind_caption]
O que devemos fazer? A vitória parece estar fora do nosso alcance!","[hint_mind_caption]
¿Qué debemos hacer? ¡La victoria parece inalcanzable!","[hint_mind_caption]
Co mamy robić? Zwycięstwo wydaje się zbyt odległe!","[hint_mind_caption]
我们该怎么办？胜利于我们无望了！","[hint_mind_caption]
我們該怎麼辦？看來勝利於我們無望了！","[hint_mind_caption]
どうすりゃいいんだ？勝利はもう絶望的だ！","[hint_mind_caption]
이제 어떡하지? 승리할 수 있을 같지 않아!","[hint_mind_caption]
Was sollen wir tun? Der Sieg scheint für uns außer Reichweite!","[hint_mind_caption]
Que devons-nous faire ? La victoire est hors d'atteinte désormais !","[hint_mind_caption]
Che cosa dobbiamo fare? La vittoria non è alla nostra portata!","[hint_mind_caption]
Ne yapmalıyız? Zafer bizden çok uzakta!","[hint_mind_caption]
Mit csináljunk? A győzelem elérhetetlennek tűnik számunkra!","[hint_mind_caption]
Що нам робити? Перемога здається недосяжною!"
hint_mind_battle_enemy_commander_dead,,"[hint_mind_caption]
Они вот-вот будут разбиты!","[hint_mind_caption]
They are about to be defeated!","[hint_mind_caption]
They are about to be defeated!","[hint_mind_caption]
Brzo je porazíme!","[hint_mind_caption]
Logo eles serão derrotados!","[hint_mind_caption]
¡Están a punto de caer derrotados!","[hint_mind_caption]
Zaraz ich pokonamy!","[hint_mind_caption]
他们不行了！","[hint_mind_caption]
他們就要輸了！","[hint_mind_caption]
やつらの敗北はもう決まったようなもんだ！","[hint_mind_caption]
곧 적들을 처치할 수 있겠어!","[hint_mind_caption]
Sie stehen kurz vor der Niederlage!","[hint_mind_caption]
La victoire nous tend les bras !","[hint_mind_caption]
Sta per subire una sconfitta!","[hint_mind_caption]
Yenilmek üzereler!","[hint_mind_caption]
Mindjárt legyőzzük őket!","[hint_mind_caption]
Незабаром вони падуть переможені!"
hint_mind_battle_enemy_commander_retreat,,"[hint_mind_caption]
Еще немного, и они побегут тоже!","[hint_mind_caption]
Just a little more, and they will run away too!","[hint_mind_caption]
Just a little more, and they will run away too!","[hint_mind_caption]
Ještě chvíli a taky utečou!","[hint_mind_caption]
Só um pouco mais e eles também sairão correndo!","[hint_mind_caption]
¡Un poco más, y ellos también huirán!","[hint_mind_caption]
Jeszcze trochę i reszta też ucieknie!","[hint_mind_caption]
再加把劲，他们剩下的人也要顶不住了！","[hint_mind_caption]
只要再加把勁，他們也會逃之夭夭！","[hint_mind_caption]
あと少しで、やつらも逃げ出すだろうよ！","[hint_mind_caption]
조금만 더 몰아붙이면 적들도 달아날 거야!","[hint_mind_caption]
Nicht mehr lange, dann werden sie auch davonlaufen!","[hint_mind_caption]
Continuons, eux aussi prendront bientôt la fuite !","[hint_mind_caption]
Ancora un po' e scapperà anche il comandante!","[hint_mind_caption]
Biraz daha dayanın, onlar da kaçacak!","[hint_mind_caption]
Csak még egy kicsi, és ők is elfutnak!","[hint_mind_caption]
Ще трохи, і вони теж втечуть!"
