Key,Comments,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
advisor.wood,"3+ день, доход дерева ниже 50 в день",дерево (это и ниже - иконки),Недостаточно дерева.,Not enough wood.,Not enough wood.,Nemáš dost dřeva.,Madeira insuficiente.,No hay suficiente madera.,Zbyt mało drewna.,木材不够。,木材不足。,木材が不足しています。,목재가 부족합니다.,Nicht genug Holz.,Quantité de bois insuffisante.,Legno insufficiente.,Yeterli odun yok.,Nincs elég fa.,Бракує деревини.,Không đủ gỗ.
advisor.alcohol,меньше 20% жителей получили алкоголь вчера,пиво,Крестьяне слишком устают,The peasants are too tired.,The peasants are too tired.,Rolníci jsou příliš unavení.,Os camponeses estão exaustos.,Los campesinos están demasiado cansados.,Chłopi są zbyt zmęczeni.,平民过于疲惫。,庶民們太疲憊了。,農民が疲れ切っています。,농민들이 너무 피곤합니다.,Die Bauern sind zu müde.,La population paysanne est trop fatiguée.,I popolani sono esausti.,Köylüler çok yorgun.,A parasztok túl fáradtak.,Селяни перевтомлені.,Những nông dân quá mệt mỏi.
advisor.nectar,"в городе больше 30% нектрарозависимых, и меньше половины получило нектар вчера",нектар,Не хватает Нектара,Nectar is running low.,Nectar is running low.,Dochází nektar.,O néctar está acabando.,El néctar se está acabando.,Kończy się nektar.,蜜酿快用完了。,蜜露即將耗盡。,ネクタルが残り少なくなっています。,넥타가 부족합니다.,Der Nektar geht zur Neige.,Les réserves de nectar s'amenuisent.,Nettare in esaurimento.,Nektar azaldı.,Kifogyóban a nektár.,Закінчується нектар.,Mật hoa đang cạn dần.
advisor.housing,больше половины жителей бездомные,домик,Не хватает жилья,Not enough housing.,Not enough housing.,Nemáš dost ubytování.,Casas insuficientes.,No hay suficiente alojamiento.,Zbyt mało mieszkań.,住房不够。,住所不足。,住宅が不足しています。,주거가 부족합니다.,Nicht genügend Wohnhäuser.,Habitations insuffisantes.,Abitazioni insufficienti.,Yeterli ev yok.,Nincs elég szállás.,Бракує житла.,Không đủ chỗ ở.
advisor.tasks,"лорд не успевает сделать инспекцию, здание под его начальством остановилось",инспекция,Лорд не успевает,The lord is too busy.,The lord is too busy.,Lord je příliš zaneprázdněn.,O nobre está muito ocupado.,El señor está demasiado ocupado.,Lord jest zbyt zajęty.,领主正在忙碌。,這位貴族太忙了。,領主が多忙すぎます。,영주가 너무 바쁩니다.,Der Lord ist zu beschäftigt.,Ce seigneur ou cette dame n'est pas disponible.,Il nobile ha troppi impegni.,Asilzade çok meşgul.,A nemes túlságosan elfoglalt.,Вельможа надто зайнятий.,Lãnh chúa quá bận rộn.
advisor.patrols,в городе больше 3 бродяг и 0 патрульных флагов,иконка бродяги,В городе много бродяг,Too many vagabonds in the city.,Too many vagabonds in the city.,Příliš mnoho pobudů ve městě.,Vadios demais na cidade.,Hay demasiados vagabundos en la ciudad.,Zbyt wielu włóczęgów w mieście.,城市里有太多,城裡有太多人,街にはが溢れている,도시에 너무 많음,Zu viele in der Stadt,Il y a trop de parias dans la cité.,Troppi in città,Şehirde çok fazla var,Túl sok a csavargó a városban.,У місті забагато волоцюг.,Có quá nhiều người lang thang trong thành phố.
advisor.scafod,более 5 подозреваемых в преступляниях,подозреваемый,Преступления не расследуются,Crimes go unresolved.,Crimes go unresolved.,Zločiny nikdo neřeší.,Os crimes ficam sem resolução.,Hay crímenes sin resolver.,Przestępcy są bezkarni.,犯罪无法遏制。,有未解決的懸案。,犯罪が野放しにされています。,범죄가 해결되지 않습니다.,Verbrechen bleiben ungestraft.,Les crimes ne sont pas punis.,I crimini non vengono puniti.,Suçlar cezalandırılmıyor.,A bűnügyek megoldatlanok maradnak.,Злочини не караються.,Tội phạm chưa được giải quyết.
advisor.low_money,денег меньше 300 монет,деньги перечеркн,Казна почти пуста,The treasury is nearly empty.,The treasury is nearly empty.,Pokladnice je téměř prázdná.,O tesouro está quase vazio.,Las arcas están casi vacías.,Skarbiec jest niemal pusty.,金库快空了。,國庫快見底了。,国庫が底を尽きようとしています。,금고가 거의 비었습니다.,Die Schatzkammer ist beinahe leer.,Les coffres du royaume sont bientôt vides.,La tesoreria è quasi vuota.,Hazine neredeyse boşaldı.,A kincstár majdnem üres.,Казна майже порожня.,Kho bạc gần như cạn kiệt.
advisor.matriarch,отношения с матриархом ниже 10,крест греха,Церковь недовольна,The church is discontented.,The church is discontented.,Církev je nespokojená.,A Igreja está descontente.,La Iglesia está descontenta.,Kościół jest niezadowolony.,教会表示不满。,教會很不滿意。,教会は不満を抱いています。,교회가 불만족스러워합니다.,Die Kirche ist unzufrieden.,L'Église n'est pas satisfaite.,La Chiesa è insoddisfatta.,Kilise memnuniyetsiz.,Az Egyház elégedetlen.,Церква незадоволена.,Nhà thờ không hài lòng.
advisor.prestige,самый непрестижный город,иконка престижа с стрл вниз,Низкий уровень престижа,Prestige is low.,Prestige is low.,Prestiž je nízká.,Nível de prestígio baixo.,El prestigio es bajo.,Niski prestiż.,声望过低。,威望低落。,名声が低くなっています。,명성이 낮습니다.,Niedriges Prestige.,Votre prestige est faible.,Il prestigio è basso.,Saygınlık düşük.,Alacsony a tekintély.,Низький престиж.,Danh tiếng thấp.
advisor.teach_children,ребенок без таска обучения второй ден подряд,иконка обучения,Ребенок не обучается,The children are not being educated.,The children are not being educated.,Děti se nevzdělávají.,As crianças não estão sendo ensinadas.,No se está educando a los infantes.,Dzieci nie są edukowane.,儿童未能接受教育。,有未受教育的孩童。,子供への教育が行き届いていません。,아이들이 교육받지 않고 있습니다.,Die Kinder erhalten keine Bildung.,Les enfants n'ont pas accès à l'éducation.,I bambini non ricevono un'educazione.,Çocuklar eğitim görmüyor.,A gyerekeket nem oktatják.,Діти не здобувають освіту.,Trẻ em không được giáo dục.
advisor.marry,"холостой лорд муж пола, в то время как на гк есть квесты невест",иконка квест невесты,Лорду пора вступить в брак,It's time for the lord to marry.,It's time for the lord to marry.,"Je čas, aby se lord oženil.",Está na hora do nobre se casar.,Es hora de que el señor se case.,Pora na małżeństwo lorda.,该让领主结婚了。,這位貴族該結婚了。,領主も結婚する時です。,영주가 결혼할 시기가 됐습니다.,Für den Lord wird es Zeit zu heiraten.,Il est temps pour ce noble de se marier.,È ora che il nobile si sposi.,Asilzadenin evlenme vakti geldi.,"Ideje, hogy a nemes megházasodjon.",Вельможі час одружитися.,Đã đến lúc lãnh chúa kết hôn.
advisor.chancellery,в городе более 15 производственных зданий,бумага,Постройте Канцелярию,We need a Chancellery.,We need a Chancellery.,Potřebujeme kancléřství.,Precisamos de uma chancelaria.,Necesitamos una cancillería.,Potrzebujemy kancelarii.,我们需要一座官邸。,我們需要一間官邸。,官庁が必要です。,사무국이 필요합니다.,Wir brauchen eine Kanzlei.,Nous avons besoin d'une chancellerie.,Ci serve una cancelleria.,Bir Şansölyelik'e ihtiyacımız var.,Kancelláriára van szükségünk.,Потрібна канцелярія.,Chúng ta cần một Văn phòng Chính phủ.
advisor.loyality,"лояльность лорда ниже 40, и в последний день падала",перевернт корона,Лояльность лорда падает,A lord's loyalty is decreasing.,A lord's loyalty is decreasing.,Lordova věrnost se snižuje.,A lealdade de um nobre está diminuindo.,La lealtad de un señor está disminuyendo.,Lojalność lorda spada.,领主忠诚度在下降。,一名貴族的忠誠度正在下滑。,領主の忠誠心が低下しています。,영주의 충성도가 감소하고 있습니다.,Die Loyalität eines Lords nimmt ab.,La loyauté d'un seigneur ou d'une dame diminue.,La lealtà di un nobile sta diminuendo.,Bir asilzadenin sadakati düşüyor.,Az egyik nemes hűsége csökken.,Вірність вельможі зменшується.,Lòng trung thành của một lãnh chúa đang giảm.
