Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
0map.appoint.sub_category.others,,Прочее,Other,Other,Ostatní,Outros,Otro,Inne,其他,其他,その他,기타,Andere,Autres,Altro,Diğer,Egyéb,Інше,Khác
9map.appoint.sub_category.expansion,,Экспансия,Expansion,Expansion,Smlouvy,Expansão,Contratos,Umowy,展开,擴張,拡張,확장,Erweiterung,Expansion,Espansione,Genişletme,Szerződések,Угоди,Mở Rộng
8map.appoint.sub_category.others,,Прочее,Other,Other,Obchod,Outros,Comercio,Handel,其他,其他,その他,기타,Andere,Autres,Altro,Diğer,Kereskedés,Торгівля,Khác
product_change_price.neighbore_town_attacked,,Из-за атаки на город {faction_uuid_town} цена выше на <red>{price_factor}%</red>,"Due to the attack on {faction_uuid_town}, the price is higher by <red>{price_factor}%</red>.","Due to the attack on {faction_uuid_town}, the price is higher by <red>{price_factor}%</red>.",Kvůli útoku na město {faction_uuid_town} je cena vyšší o <red>{price_factor} %</red>.,Um ataque contra {faction_uuid_town} aumentou o preço em <red>{price_factor}%</red>.,"Debido al ataque en {faction_uuid_town}, el precio es un <red>{price_factor} %</red> más alto.",Z powodu napaści na miasto {faction_uuid_town} cena wzrosła o <red>{price_factor}%</red>.,由于对{faction_uuid_town}的袭击，价格上涨了<red>{price_factor}%</red>。,攻打{faction_uuid_town}讓價格增加了 <red>{price_factor}%</red>。,{faction_uuid_town}の襲撃により、価格が <red>{price_factor}%</red>高くなります。,{faction_uuid_town}에 대한 공격으로 가격이 <red>{price_factor}%</red> 상승했습니다.,Wegen des Angriffs auf die Fraktion „{faction_uuid_town}“ ist der Preis um <red>{price_factor} %</red> gestiegen.,"En raison de l'attaque contre {faction_uuid_town}, le prix a augmenté de <red>{price_factor} %</red>.","A causa di un attacco a {faction_uuid_town}, il prezzo è aumentato del <red>{price_factor}%</red>.",{faction_uuid_town} kasabasına yapılan saldırıdan dolayı fiyatlar <red>%{price_factor}</red> yükseldi.,A(z) {faction_uuid_town} elleni támadás miatt az ár <red>{price_factor}%-kal</red> magasabb.,У зв'язку з нападом на місто {faction_uuid_town} ціна вища на <red>{price_factor}%</red>.,"Do cuộc tấn công vào {faction_uuid_town}, giá đã tăng lên <red>{price_factor}%</red>."
no_defence_allies,,Нет союзников,No allies,No allies,Žádní spojenci,Sem aliados,Sin aliados,Brak sojuszników,无盟友,無盟友,同盟なし,아군 없음,Keine Verbündeten,Aucun allié,Nessun alleato,Müttefik yok,Nincsenek szövetségesek,Без союзників,Không có đồng minh
map.category.lords,,Лорды,Lords,Lords,Lordi,Nobres,Señores,Lordowie,领主,貴族,領主,영주,Lords,Nobles,Nobili,Asilzadeler,Nemesek,Вельможі,Các Lãnh Chúa
map.hostage_player,,Выкуп за пленника,Ransom for a hostage,Ransom for a hostage,Výkupné za rukojmí,Valor para resgatar um refém,Rescate por un rehén,Wykup zakładnika,人质赎金,贖回人質,人質に対する身代金,인질 몸값,Lösegeld für eine Geisel,Rançon pour un otage,Riscatto per un ostaggio,Esir fidyesi,Váltságdíj egy túszért,Викуп за заручника,Tiền chuộc cho con tin
map.lord_low_loyalty,,Лорд готов уйти,Lord is ready to leave,Lord is ready to leave,Lord je připraven odejít,Nobre pronto para partir,El señor está listo para partir,Lord jest gotowy do odejścia,领主准备离开,貴族即將離開,領主が立ち去ろうとしています,영주가 떠날 준비를 마침,Lord ist aufbruchsbereit,Noble prêt à partir,Il nobile sta per andarsene,Asilzade gitmek için hazır,A nemes indulásra kész,Вельможа може піти,Lãnh chúa đã sẵn sàng rời đi
map.lord_rebellion.nobody_support,,Никто,None,None,Nic,Nenhum,Nada,Brak,无,無,なし,없음,Niemand,Aucun,Nessuno,Hiç kimse,Nincs,Немає,Không
map.lord_rebellion_heir,,Восстание наследника,Heir's rebellion,Heir's rebellion,Dědicovo povstání,Rebelião da pessoa herdeira,Rebelión del heredero,Bunt spadkobiercy,王位继承人的叛乱,王儲篡位,相続人の反乱,후계자 반란,Rebellion des Erben,Révolte de l'héritier ou héritière,Rivolta dell'erede,Vâris isyanı,Lázadó örökös,Заколот спадкоємця,Cuộc nổi loạn của người thừa kế
map.lord_rebellion_king,,Защита от восстания,Protection against rebellion,Protection against rebellion,Ochrana před povstáním,Defesas contra a rebelião,Protección contra rebeliones,Ochrona przed buntem,预防叛乱,擁護王位,反乱からの保護,반란 방지,Schutz vor Rebellion,Protection contre la révolte,Protezione contro la rivolta,İsyana karşı koruma,Védekezés a lázadás ellen,Захист від заколоту,Bảo vệ chống lại cuộc nổi loạn
map.hire_bandits,,Найм бандитов,Hiring bandits,Hiring bandits,Najímání banditů,Contratação de bandidos,Contratar bandidos,Najem bandytów,雇佣强盗,僱用劫匪,盗賊を雇う,도적단 고용 중,Banditen anheuern,Engager des bandits,Assolda fuorilegge,Haydut kiralama,Banditák felfogadása,Найняті розбійники,Thuê bọn cướp
map.solders_gift,,Предложение помощи,Offer help,Offer help,Nabídnout pomoc,Oferecer ajuda,Ofrecer ayuda,Oferta pomocy,提供帮助,提供協助,支援を提供する,도움 제공,Hilfe anbieten,Proposer de l'aide,Offri aiuto,Yardım teklif et,Segítség felajánlása,Запропонувати допомогу,Đề nghị giúp đỡ
map.appoint.events,,События,Events,Events,Události,Eventos,Eventos,Wydarzenia,事件,事件,イベント,사건,Ereignisse,Événements,Eventi,Olaylar,Események,Події,Sự kiện
map.category.criminals,,Темные дела,Dark deeds,Dark deeds,Temné skutky,Ações sinistras,Actos perversos,Zbrodnie,邪恶勾当,不法勾當,闇の所業,악행,Missetaten,Actes malveillants,Azioni maligne,Karanlık işler,Sötét tettek,Темні справи,Hành động đen tối
map.category.politics,,Политика,Politics,Politics,Politika,Política,Políticas,Polityka,政治,政治,政治,정치,Politik,Politique,Politica,Siyaset,Politika,Політика,Chính trị
map.category.attack,,Атака,Attack,Attack,Útok,Ataque,Ataque,Atak,攻击,攻擊,攻撃,공격,Angriff,Attaquer,Attacco,Saldırı,Támadás,Напад,Tấn công
map.category.marriage,,Брак,Marriage,Marriage,Manželství,Casamento,Matrimonio,Małżeństwo,婚姻,婚姻,結婚,결혼,Ehe,Mariage,Matrimonio,Evlilik,Házasság,Шлюб,Hôn nhân
map.category.trade,,Торговля,Trade,Trade,Obchod,Comércio,Comercio,Handel,贸易,貿易,貿易,무역,Handel,Commerce,Commercio,Ticaret,Kereskedés,Торгівля,Thương mại
map.abandoned_town,,Заброшенный город,Abandoned city,Abandoned city,Opuštěné město,Cidade abandonada,Ciudad abandonada,Opuszczone miasto,废弃城市,廢棄城鎮,廃墟の町,버려진 도시,Verlassene Stadt,Cité abandonnée,Città abbandonata,Terk edilmiş şehir,Elhagyatott város,Покинуте місто,Thành phố bị bỏ hoang
map.marriage_female,,Невеста на выданье,Bride to be married off,Bride to be married off,Brzké vdavky,Noiva disponível para casar,Novia para casar,Panna na wydaniu,新婚的新娘,待嫁的新娘,結婚を控えた花嫁,결혼할 신부,Zu verheiratende Braut,Future mariée,Sposa da maritare,Evlenecek gelin,Kiházasítandó ara,Наречена на видання,Cô dâu để kết hôn
map.marriage_male,,Жених на выданье,Groom to be married off,Groom to be married off,Ženich se brzo ožení,Noivo disponível para casar,Novio para casar,Kawaler na wydaniu,新婚的新郎,待娶的新郎,結婚を控えた花婿,결혼할 신랑,Zu verheiratender Bräutigam,Futur marié,Sposo da ammogliare,Evlenecek damat,Kiházasítandó vő,Наречений на видання,Chú rể để kết hôn
map.loan,,Заем денег,Money lending,Money lending,Půjčování peněz,Empréstimo de dinheiro,Prestar dinero,Pożyczka,借贷,貸款,貸金業,대출,Darlehen,Prêt financier,Prestito di denaro,Borç para verme,Pénzkölcsönzés,Позика,Cho vay tiền
map.king_tribute,,Угроза разграбления,Threat of plunder,Threat of plunder,Hrozba rabování,Ameaça de saque,Peligro de saqueo,Zagrożenie grabieży,劫掠的威胁,威脅劫掠,略奪の脅威,약탈 위협,Mit Plünderung drohen,Risque de pillage,Minaccia di razzia,Yağma tehdidi,Fosztogatásveszély,Погроза грабунку,Đe dọa cướp bóc
map.king_tribute_light,,Вежливое требование дани,Polite demand for tribute,Polite demand for tribute,Zdvořilá žádost o příspěvek,Pedido educado de tributo,Exigencia educada de tributo,Uprzejme żądanie daniny,礼貌地要求进贡,禮貌索取貢金,丁寧な貢物の要求,정중한 공물 요구,Höfliche Tributforderung,Demande de tribut respectueuse,Richiesta cortese di tributo,Kibarca haraç talebi,Hűbéradó udvarias követelése,Ввічлива вимога данини,Lịch sự yêu cầu cống nạp
map.demand_tribute,,Вежливо потребовать дани,Polite demand for tribute,Polite demand for tribute,Zdvořilá žádost o příspěvek,Pedido educado de tributo,Exigencia educada de tributo,Uprzejme żądanie daniny,礼貌地要求进贡,禮貌索取貢金,丁寧な貢物の要求,정중한 공물 요구,Höfliche Tributforderung,Demande de tribut respectueuse,Richiesta cortese di tributo,Kibarca haraç talebi,Hűbéradó udvarias követelése,Ввічлива вимога данини,Lịch sự yêu cầu cống nạp
map.assault_fair,,Разграбить город,Plunder the city,Plunder the city,Vydrancovat město,Saquear a cidade,Saquear la ciudad,Plądrowanie miasta,掠夺城市,掠奪城邦,街を略奪,도시 약탈,Stadt plündern,Piller la cité,Razzia della città,Şehri yağmala,Város kifosztása,Розграбувати місто,Cướp bóc thành phố
map.assault_unfair,,Разграбить город,Plunder the city,Plunder the city,Vydrancovat město,Saquear a cidade,Saquear la ciudad,Plądrowanie miasta,掠夺城市,掠奪城邦,街を略奪,도시 약탈,Stadt plündern,Piller la cité,Razzia della città,Şehri yağmala,Város kifosztása,Розграбувати місто,Cướp bóc thành phố
map.city_burn_ai,,Угроза уничтожения,Threat of destruction,Threat of destruction,Hrozba zničení,Ameaça de destruição,Peligro de destrucción,Zagrożenie zniszczeniem,毁灭的威胁,威脅滅國,破壊の脅威,파괴 위협,Mit Zerstörung drohen,Menace de destruction,Minaccia di distruzione,Yıkım tehdidi,Lerombolás veszélye,Погроза знищення,Đe dọa phá hủy
map.demand_peace,,Предложение мирного договора,Proposal of a peace treaty,Proposal of a peace treaty,Nabídka mírové smlouvy,Proposta de tratado de paz,Propuesta de un tratado de paz,Propozycja traktatu pokojowego,和约提议,提議簽署和平條約,平和条約の提案,평화 조약 제안,Friedensabkommen vorschlagen,Proposition d'un traité de paix,Proposta di un trattato di pace,Barış antlaşması teklifi,Békeajánlat,Пропозиція мирної угоди,Đề xuất hiệp ước hòa bình
map.declared_peace_broken,,Мирный договор расторгнут,Peace treaty dissolved,Peace treaty dissolved,Mírová smlouva vypršela,Tratado de paz dissolvido,Tratado de paz disuelto,Zerwany traktat pokojowy,和约解除,和平條約瓦解了,平和条約の解消,평화 조약 해제,Friedensabkommen aufgelöst,Traité de paix annulé,Trattato di pace sciolto,Barış antlaşması feshedildi,Békeszerződés felbontva,Мирну угоду розірвано,Hiệp ước hòa bình sụp đổ
map.trade_agreement_broken,,Торговое соглашение расторгнуто,Trade agreement terminated,Trade agreement terminated,Obchodní smlouva vypršela,Acordo comercial encerrado,Acuerdo comercial finalizado,Zerwana umowa handlowa,贸易协议终止,貿易協議中止了,貿易協定の終了,무역 협정 종료,Handelsabkommen beendet,Accord commercial annulé,Accordo commerciale concluso,Ticaret sözleşmesi feshedildi,Kereskedelmi egyezség megszűnt,Торгову угоду розірвано,Thỏa thuận thương mại bị chấm dứt
map.declared_peace,,Заключен мир,Peace has been established,Peace has been established,Byl nastolen mír,A paz foi estabelecida,Se ha establecido la paz,Zawarto pokój,和平已建立,已建立和平,平和が築かれた,평화 성립됨,Frieden erklärt,La paix règne désormais,Pace ristabilita,Barış sağlandı,Béke helyreállítva,Укладено мир,Hòa bình đã được thiết lập
map.demand_defence_alliance_to_player,,Предложение о союзе,Alliance proposal,Alliance proposal,Návrh spojenectví,Proposta de aliança,Propuesta de alianza,Propozycja sojuszu,联盟提议,提議結盟,同盟の提案,동맹 제안,Vorgeschlagene Allianz,Proposition d'alliance,Proposta di alleanza,İttifak teklifi,Szövetségajánlat,Пропозиція союзу,Đề nghị liên minh
map.declared_defence_alliance,,Союз свободных городов,Alliance of Free Cities,Alliance of Free Cities,Aliance svobodných měst,Aliança de Cidades Livres,Alianza de ciudades libres,Sojusz wolnych miast,自由城联盟,自由城邦聯盟,自由都市同盟,자유 도시 동맹,Allianz der Freien Städte,Alliance des cités libres,Alleanza di città libere,Özgür Şehirlerin İttifakı,Szabad városok szövetsége,Союз вільних міст,Liên minh Các Thành phố Tự do
map.demand_defence_ally_army,,Просьба о помощи,Request for assistance,Request for assistance,Žádost o pomoc,Pedido de ajuda,Solicitud de ayuda,Prośba o pomoc,请求援助,索求協助,支援の要請,지원 요청,Bitte um Unterstützung,Demande d'assistance,Richiesta di aiuto,Yardım isteği,Segítségkérés,Запит на допомогу,Yêu cầu trợ giúp
map.demand_vassal_waiting,,Ожидание ответа,Awaiting response,Awaiting response,Čekání na odpověď,Aguardando resposta,Esperando respuesta,Oczekiwanie na odpowiedź,等待回应,等候回覆,返事を待っています,응답 대기 중,In Erwartung einer Antwort,En attente d'une réponse,In attesa di risposta,Cevap bekliyor,Válaszra vár,Очікування відповіді,Đang chờ phản hồi
map.demand_vassal_attack_waiting,,Ожидание атаки,Awaiting attack,Awaiting attack,Čekání na útok,Aguardando ataque,Esperando ataque,Oczekiwanie na atak,等待攻击,等候攻擊,攻撃の開始を待っています,공격 대기 중,Erwartet Angriff,En attente d'une attaque,In attesa di un attacco,Saldırmayı bekliyor,Támadásra számít,Очікування нападу,Đang chờ tấn công
map.demand_vassal_light_player,,Требование вассалитета,Demand vassalage,Demand vassalage,Požadovat vazalství,Exigir vassalagem,Exigir vasallaje,Żądanie hołdu lennego,要求成为附庸,要求成為附庸,従属を要求,봉신화 요구,Forderung nach Vasallität,Demande de vassalisation,Richiesta di vassallaggio,Vasallık talep et,Vazallusság követelése,Вимога стати васалом,Yêu cầu trở thành chư hầu
map.demand_vassal_player,,Требование вассалитета,Demand vassalage,Demand vassalage,Požadovat vazalství,Exigir vassalagem,Exigir vasallaje,Żądanie hołdu lennego,要求成为附庸,要求成為附庸,従属を要求,봉신화 요구,Forderung nach Vasallität,Demande de vassalisation,Richiesta di vassallaggio,Vasallık talep et,Vazallusság követelése,Вимога стати васалом,Yêu cầu trở thành chư hầu
map.help_against_faceless,,Помощь против Нечестивой Орды,Aid against the Unholy Horde,Aid against the Unholy Horde,Pomoc proti Nesvaté hordě,Ajuda contra a Horda Profana,Ayuda contra la Horda Impía,Wsparcie przeciwko Hordzie Przeklętych,帮助对抗邪恶部族,馳援抵抗孽惡部族,罪深き軍団に対抗するための支援,불경한 군단에 맞선 지원,Hilfe gegen die Unheilige Horde,Aide contre la Horde impie,Aiuto contro l'Orda profana,Habis Sürü'ye karşı yardım,Segítség a Szentségtelen Horda ellen,Допомога проти Нечистої орди,Giúp chiến đấu chống lại các bộ tộc độc ác
map.demand_kill_own_bandits_camp,,Требование уничтожить бандитов,Demand to eliminate bandits,Demand to eliminate bandits,Žádost o zlikvidování zbojníků,Exigir a eliminação de bandidos,Exigir la eliminación de bandidos,Żądanie eliminacji bandytów,要求消灭强盗,要求剿滅劫匪,盗賊の撲滅を要求,도적단 섬멸 요구,Forderung nach Vernichtung der Banditen,Requête d'élimination des bandits,Richiesta di eliminazione dei fuorilegge,Haydutları haklamasını talep et,Banditák elintézésének követelése,Вимога знищення розбійників,Yêu cầu loại bỏ bọn cướp
map.conquest,,Восстановление вассалитета,Restoring vassalage,Restoring vassalage,Obnovení vazalství,Restauração da vassalagem,Restaurar el vasallaje,Przywrócenie lenna,恢复附庸关系,恢復附庸關係,従属を回復,봉신 수복,Vasallität wiederherstellen,Vassalisation restaurée,Ristabilimento del vassallaggio,Vasallık tekrar sağlanıyor,Vazallusság helyreállítása,Відновлення васалітету,Khôi phục quan hệ chư hầu
map.king_attack,,Требование штурма,Demand for a siege,Demand for a siege,Žádost o obléhání,Exigência de um cerco,Exigencia de un asedio,Żądanie ataku,要求围攻,威脅圍城,包囲攻撃の要求,공성 요구,Forderung nach Belagerung,Siège exigé,Richiesta di assedio,Kuşatma talep et,Ostrom követelése,Вимога за облогу,Kêu gọi bao vây
map.demand_attack,,Требование штурма,Demand for a siege,Demand for a siege,Žádost o obléhání,Exigência de um cerco,Exigencia de un asedio,Żądanie ataku,要求围攻,威脅圍城,包囲攻撃の要求,공성 요구,Forderung nach Belagerung,Siège exigé,Richiesta di assedio,Kuşatma talep et,Ostrom követelése,Вимога за облогу,Kêu gọi bao vây
map.slaves_offer,,Продажа пленников,Sale of prisoners,Sale of prisoners,Obchod s vězni,Venda de prisioneiros,Venta de prisioneros,Sprzedaż jeńców,出售囚犯,販售囚犯,囚人の売買,수감자 판매,Verkauf von Sklaven,Vente d'esclaves,Vendita di prigionieri,Mahkûmların satışı,Foglyok eladása,Продаж в'язнів,Bán tù nhân
map.trade_offer,,Торговое предложение,Trade offer,Trade offer,Obchodní nabídka,Oferta comercial,Oferta comercial,Oferta handlowa,贸易提议,貿易提案,貿易の申し出,거래 제안,Handelsangebot,Offre commerciale,Offerta commerciale,Ticaret teklifi,Kereskedelmi ajánlat,Торгова пропозиція,Đề nghị thương mại
map.trade_request,,Торговый запрос,Trade request,Trade request,Žádost o obchod,Pedido comercial,Solicitud comercial,Prośba handlowa,贸易请求,貿易請求,貿易の要請,거래 요청,Handelsanfrage,Requête commerciale,Richiesta commerciale,Ticaret talebi,Kereskedem iránti kérés,Запит на торгівлю,Yêu cầu thương mại
map.village,,Деревня,Village,Village,Vesnice,Vila,Pueblo,Wioska,村庄,村莊,村,마을,Dorf,Village,Villaggio,Köy,Falu,Село,Làng
map.village_neighbore,,Деревня соседнего короля,Village of a neighboring king,Village of a neighboring king,Vesnice sousedního krále,Vila de um reino vizinho,Pueblo de un monarca vecino,Wioska sąsiadującego króla,邻邦君王的村庄,鄰邦君王的村莊,近隣都市の王の村,이웃 왕의 마을,Dorf eines benachbarten Königs,Village d'un monarque voisin,Villaggio di un monarca vicino,Komşu hükümdarın köyü,Egy szomszédos uralkodó faluja,Село сусіднього монарха,Làng của vua lân cận
map.village.short,,"Небольшое поселение, не имеющее доступа к торговле, железу и сложным инструментам. ","A small settlement with no access to trade, iron, or advanced tools.","A small settlement with no access to trade, iron, or advanced tools.","Malá osada bez přístupu k obchodu, železu či pokročilým nástrojům.","Um pequeno assentamento sem acesso ao comércio, ferro ou ferramentas avançadas.","Un pequeño asentamiento sin acceso al comercio, al hierro ni a herramientas avanzadas.","Niewielka osada bez dostępu do szlaków handlowych, żelaza i zaawansowanych narzędzi.",一个无法进行贸易、没有铁或高级工具的小型聚落。,小型聚落，無法交易，也沒有鐵或高級工具。,貿易も鉄も高度な道具も手に入らない小さな集落。,"무역, 철, 고급 도구를 이용할 수 없는 작은 정착지.","Eine kleine Siedlung ohne Zugang zu Handel, Eisen oder fortschrittlichen Werkzeugen.","Une petite cité qui n'a pas accès aux échanges commerciaux, ni au fer, ni aux outils avancés.","Piccolo insediamento senza accesso a commercio, ferro o attrezzi avanzati.","Ticarete, demire ve gelişmiş aletlere erişimi olmayan küçük bir yerleşke.","Egy kisebb település kereskedelem, vas és fejlett eszközök nélkül.","Маленьке село без доступу до торгівлі, заліза чи передових інструментів.","Một khu định cư nhỏ không có quyền tiếp cận thương mại, sắt hoặc công cụ tiên tiến."
map.burned_village,,Сгоревшая деревня,Burned village,Burned village,Vypálená vesnice,Vila queimada,Pueblo arrasado,Spalona wioska,被烧毁的村庄,燒毀的村莊,焼け落ちた村,불탄 마을,Niedergebranntes Dorf,Village brûlé,Villaggio bruciato,Yanmış köy,Leégett falu,Спалене село,Ngôi làng bị đốt cháy
map.burned_village.short,,"Разграбленная и сожженная деревня. Через некоторое время жители, которые попрятались в окрестных лесах, вернутся и восстановят ее, а пока тут никого нет.","A plundered and burned village. After some time, the residents who hid in the surrounding forests will return and rebuild it, but for now, there is no one here.","A plundered and burned village. After some time, the residents who hid in the surrounding forests will return and rebuild it, but for now, there is no one here.","Vydrancovaná a vypálená vesnice. Po nějakém čase se obyvatelé, kteří se ukryli v okolních lesích, vrátí a znovu ji postaví, ale prozatím tu nikdo není.","Uma vila que foi saqueada e queimada. Depois de um tempo, os moradores que se esconderam nas florestas vizinhas voltarão para reconstruí-la, mas não há ninguém aqui no momento.","Un pueblo saqueado y arrasado. Transcurrido un tiempo, los residentes que se ocultaron en los bosques circundantes volverán y lo reconstruirán, pero, de momento, no hay nadie.","Splądrowana i spalona wioska. Po jakimś czasie mieszkańcy, którzy skryli się w lasach, wrócą i odbudują osadę. Na razie jednak nikt tu nie mieszka.",一个被掠夺和烧毁的村庄。一段时间后，藏在周围森林的居民将返回并重建村庄，但目前这里没有人。,遭到掠奪，只剩一片廢墟的村莊。過陣子後，逃進附近森林的原居民會回來重建村莊，但目前這裡一個人都沒有。,略奪され、焼かれた村。しばらくすれば、周囲の森に隠れていた住民たちが戻ってきて村を再建するのでしょうが、今のところ、ここには誰もいません。,약탈당하고 불에 탄 마을. 시간이 지나면 주변에 있는 숲에 숨은 거주민들이 돌아와 마을을 재건합니다. 하지만 지금은 마을에 아무도 없습니다.,"Ein geplündertes und niedergebranntes Dorf. Nach einiger Zeit werden seine Bewohner, die sich in den umliegenden Wäldern verstecken, zurückkehren und es wiederaufbauen. Doch fürs Erste ist hier niemand.","Un village pillé et brûlé. Au bout d'un moment, la population qui se cachait dans les forêts environnantes reviendra et reconstruira le village, mais pour l'instant, il est complètement désert.","Villaggio bruciato e saccheggiato. Per ora è disabitato ma, tra qualche tempo, gli abitanti che hanno trovato rifugio nelle foreste circostanti torneranno a ricostruirlo.",Yağmalanmış ve yanmış bir şehir. Bir süre sonra etraftaki ormanlara saklanan sakinler geri döner ve köyü yeniden inşa ederler ancak şimdilik burada kimse yok.,"Egy kifosztott és felégetett falu. Egy idő után a környező erdőkben megbújt lakók visszatérnek és újjáépítik majd, egyelőre azonban még lakatlan.","Розграбоване й спалене село. За якийсь час його жителі, що ховалися в навколишніх лісах, повернуться додому й відбудують село, але наразі там нікого немає.","Một ngôi làng bị cướp bóc và đốt cháy. Sau một thời gian, cư dân ẩn náu trong rừng xung quanh sẽ trở lại và xây dựng lại nó, nhưng hiện tại không có ai ở đây."
map.protect,,Угроза нападения,Threat of attack,Threat of attack,Hrozba útoku,Ameaça de ataque,Peligro de ataque,Zagrożenie atakiem,攻击威胁,侵襲威脅,襲撃の脅威,공격 위협,Mit Angriff drohen,Risque d'attaque,Minaccia di attacco,Saldırı tehdidi,Támadásveszély,Загроза нападу,Đe dọa tấn công
map.protect.short,,Рядом с деревней собирается отряд бандитов,A group of bandits is gathering near the village.,A group of bandits is gathering near the village.,Poblíž vesnice se srocuje skupina zbojníků.,Um grupo de bandidos está se reunindo perto da vila.,Un grupo de bandidos está reuniéndose cerca del pueblo.,W pobliżu wioski zbiera się grupa bandytów.,一群强盗正在村庄附近聚集。,有劫匪在村莊附近集結。,村の近くに盗賊の一団が集まっています。,도적단 무리가 마을 주변에 모이고 있습니다.,Eine Gruppe von Banditen rottet sich in der Nähe des Dorfes zusammen.,Un groupe de bandits s'est rassemblé près du village.,Un gruppo di fuorilegge si sta radunando nei pressi del villaggio.,Bir grup haydut köyün yakınında toplanıyor,Egy csapat bandita gyülekezik a falu közelében.,Біля села збирається розбійницька ватага.,Một nhóm cướp đang tập trung gần làng.
map.tribute,,Дань,Tribute,Tribute,Příspěvek,Tributo,Tributo,Danina,贡金,貢品,貢物,공물,Tribut,Tribut,Tributo,Haraç,Hűbéradó,Данина,Cống nạp
map.tribute.short,,- Деревня собрала урожай и готова выплатить вам дань,- The village has gathered its harvest and is ready to pay tribute to you.,- The village has gathered its harvest and is ready to pay tribute to you.,- Vesnice dala dohromady sklizeň a je připravena zaplatit ti příspěvek.,A vila fez a colheita e está pronta para lhe pagar o tributo.,- El pueblo ha reunido su cosecha y está listo para pagarte el tributo.,Wioska zebrała plony i jest gotowa przekazać swoją daninę.,- 村庄已经收获了农作物并准备向你缴纳贡金。,- 該村莊已經打包好作物，準備進貢給你了。,- 村は収穫を終え、あなたに貢物を納める準備ができています。,- 마을에서 수확한 것을 모아 공물을 바칠 준비를 마쳤습니다.,"– Das Dorf hat seine Ernte eingefahren und ist bereit, den Tribut an dich zu bezahlen.",Le village a fait ses récoltes et est prêt à vous verser un tribut.,Il villaggio ha accumulato il raccolto ed è pronto a versarti un tributo.,- Köy mahsullerini topladı ve haraç ödemeye hazır.,"– A falu begyűjtötte a termést, és kész megfizetni a hűbéradót.",- Село зібрало врожай і готове платити вам данину.,- Ngôi làng đã thu hoạch xong và sẵn sàng nộp cống phẩm cho ngài.
map.mill,,Улучшение мельницы,Mill improvement,Mill improvement,Vylepšení mlýna,Melhoria do moinho,Mejora del molino,Ulepszenie młyna,磨坊改进,磨坊改良,製粉所の改善,방앗간 개선,Verbesserung der Mühle,Amélioration du moulin,Miglioramento del mulino,Değirmeni iyileştirme,Malomfejlesztés,Вдосконалення млина,Cải thiện nhà máy xay
map.mill.short,,Староста деревни планирует улучшить деревенскую мельницу,The village elder plans to improve the village mill.,The village elder plans to improve the village mill.,Vesnický staršina hodlá vylepšit mlýn.,O membro ancião da vila planeja melhorar o moinho.,El anciano del pueblo tiene intención de mejorar el molino.,Starszy wioski zamierza ulepszyć młyn w wiosce.,村长计划改进村里的磨坊。,村長打算改良村裡的磨坊。,村の長老は村の製粉所の改良を計画しています。,마을 장로가 마을 방앗간을 개선할 계획을 세웁니다.,"Der Dorfälteste plant, die Dorfmühle zu verbessern.",Le chef ou la cheffe souhaite améliorer le moulin du village.,Gli anziani del villaggio hanno intenzione di migliorare il loro mulino.,Köy büyükleri değirmeni iyileştirmeyi planlıyor.,A falu bírája fejleszteni szeretné a falu malmát.,Старійшина села збирається вдосконалити млин.,Trưởng làng dự định cải thiện nhà máy xay của làng.
map.hungry,,Голод,Famine,Famine,Hladomor,Fome extrema,Hambruna,Głód,饥荒,飢荒,飢饉,기근,Hungersnot,Famine,Carestia,Kıtlık,Éhínség,Голод,Nạn đói
