Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
hello.neutral.1,отношения -25 +25,"Король {name},","Ruler {name},","Ruler {name},","Vládce {name},","Governante {name},",Gobernante {name}:,"{name}, władco,",统治者{name}，,{name}陛下鈞鑒：,{name}様、,"통치자 {name}에게,","Machthaber {name},","Au monarque {name},","Regale {name},","Hükümdar {name},",{name} uralkodó!,Правителю {name}!,"Người cai trị {name},"
hello.neutral.2,,Правителю земли {faction_name}.,"Ruler of the land {faction_name},","Ruler of the land {faction_name},","Vládce země {faction_name},","Governante de {faction_name},",Gobernante de {faction_name}:,"Władco krainy {faction_name},",{faction_name}领土的统治者，,{faction_name}國君鈞鑒：,この国の支配者である{faction_name}様、,"{faction_name}의 통치자여,","Landesherrscher {faction_name},","À la couronne des terres de {faction_name},","Nobile monarca di {faction_name},","{faction_name} diyarının hükümdarı,",{faction_name} földjének ura!,Правителю земель {faction_name}!,"Người cai trị vùng đất {faction_name},"
hello.neutral.3,,"Сир,","Sir,","Sir,","Pane,","Senhor,",Señor:,"Władco,",阁下，,敬啟者：,国王陛下、,"통치자여,","Herr,","Seigneur,","Maestà,","Efendim,",Uram!,Государю!,"Ngài,"
hello.neutral.4,,"Благородный правитель {name}, ","Noble ruler {name},","Noble ruler {name},","Urozený vládce {name},","Nobre governante {name},",Noble gobernante {name}:,"{name}, szlachetny władco,",尊贵的统治者{name}，,{name}陛下尊鑒：,高貴なる国王 {name}様、,"고귀한 통치자 {name}에게,","Edler Machthaber {name},","Noble monarque {name},","Nobile {name},","Soylu hükümdar {name},","Nemes uralkodó, {name}!",Шляхетний правителю {name}!,"Quý ngài {name},"
hello.neutral.5,,"Мой благородный сосед,","My noble neighbor,","My noble neighbor,","Můj urozený sousede,","Meu nobre vizinho,",Mi noble vecino:,"Mój szlachetny sąsiedzie,",尊敬的邻邦，,致吾芳鄰：,高貴な隣人殿、,"고귀한 이웃에게,","Mein edelmütiger Nachbar,","À mes très chers voisins,","Rispettabile sodale,","Soylu komşum,",Nemes szomszédom!,Мій шляхетний сусіде!,"Người láng giềng cao quý của tôi,"
hello.neutral.6,,Моему уважаемому соседу.,To my respected neighbor:,To my respected neighbor:,Mému ctihodnému sousedovi:,Ao meu prezado vizinho:,A mi respetado vecino:,Szanowny sąsiedzie:,致尊敬的邻邦：,敬吾芳鄰：,尊敬する隣人へ：,"존경하는 이웃에게,",An meinen ehrwürdigen Nachbarn:,"À mon respecté voisin,",All'illustre monarca della provincia vicina:,"Saygın komşuma,",Tisztelt szomszédom:,Моєму шляхетному сусіду:,Đến người láng giềng đáng kính của tôi:
hello.neutral.7,,Законному правителю земли {faction_name}.,To the rightful ruler of the land {faction_name}:,To the rightful ruler of the land {faction_name}:,Právoplatnému vládci provincie {faction_name}:,À liderança legítima de {faction_name}:,Al legítimo gobernante de {faction_name}:,"Prawowity władco krainy {faction_name},",致{faction_name}领土的合法统治者，,{faction_name}國君鈞座：,この国の正当なる国王 {faction_name}様：,"{faction_name}의 정당한 통치자에게,",An den rechtmäßigen Machthaber des Landes {faction_name}:,"Au monarque légitime des terres de {faction_name},",All'onorevole monarca di {faction_name}:,"{faction_name} diyarının meşru hükümdarına,",{faction_name} földjének jogos ura:,Законному правителю земель {faction_name}:,Đến người cai trị hợp pháp của vùng đất {faction_name}:
hello.neutral.8,,Приветствую!,Greetings!,Greetings!,Zdravím tě!,Saudações!,¡Saludos!,Witaj!,你好！,您好！,ごきげんよう！,안녕하신가.,Sei begrüßt!,Salutations !,Salute!,Selamlar!,Üdvözlet!,Вітання!,Lời chào!
hello.good.1,выше 25,"Дорогой {name},","Dear {name},","Dear {name},","Vážený příteli {name},","Prezado {name},",Estimado {name}:,"{name},",亲爱的{name}，,{name}閣下：,{name}国王、,"{name}에게,","Geschätzter {name},","Cher {name},","Amabile {name},","Sevgili {name},",Drága {name}!,{name}!,"Thân mến {name},"
hello.good.2,,"Мой искренний друг {name},","My sincere friend {name},","My sincere friend {name},","Můj drahý příteli {name},","Meu caro amigo {name},",Mi camarada {name}:,"{name}, moja bratnia duszo,",我的挚友{name}，,{name}吾友台鑒：,親愛なる友人 {name}殿、,"나의 진실된 친구 {name},","Mein edler Freund {name},","Mon ami {name},","Fedele {name},","Canım arkadaşım {name},","Igaz barátom, {name}!",Мій щирий друже {name}!,"Bạn chân thành của tôi {name},"
hello.good.3,,"Мой возлюбленный друг {name},","My beloved friend {name},","My beloved friend {name},","Můj milovaný příteli {name},","Meu amado amigo {name},",Mi camarada {name}:,"{name}, mój drogi przyjacielu,",我亲爱的朋友{name}，,{name}吾友大鑒：,最愛の友人 {name}殿、,"사랑하는 친구 {name},","Mein geliebter Freund {name},","Mon très cher ami {name},","Cortese {name},","Sevgili arkadaşım {name},","Kedves barátom, {name}!",Мій любий друже {name}!,"Người bạn thân yêu của tôi {name},"
hello.good.4,,"{name}, друг мой,","{name}, my friend,","{name}, my friend,","{name}, příteli,","{name}, meu amigo,","{name}, camarada:","{name}, przyjacielu,",{name}，我的朋友，,{name}吾友：,友人である {name}殿、,"내 친구 {name},","{name}, Freund,","{name},","{name}, leale confidente,","Dostum {name},","{name}, barátom!","{name}, мій друже!","{name}, bạn của tôi,"
hello.good.5,,"Приветствую тебя, {name}!","I greet you, {name}!","I greet you, {name}!","Zdravím tě, {name}!","Saudações, {name}!","¡Te saludo, {name}!","{name}, witam cię!",你好啊，{name}！,{name}閣下台安：,ごきげんよう、{name}殿、,"안녕하신가, {name}!","Ich grüße dich, {name}!","Je vous salue, {name} !","I miei omaggi, {name}!",Selamlar sana {name}!,"Üdvözöllek, {name}!","Вітаю тебе, {name}!","Tôi chào bạn, {name}!"
hello.vassal.1,если вассал и отношения -25 +25,"{name}, мой законный вассал,","{name}, my lawful vassal,","{name}, my lawful vassal,","{name}, můj zákonný vazale,","{name}, meu legítimo vassalo,","{name}, mi leal vasallo:","{name}, mój prawowity wasalu,",{name}，我的附庸，,{name}吾臣卿：,正当なる臣下 {name}殿、,"나의 적법한 봉신 {name}(이)여,","{name}, mein rechtmäßiger Vasall,","{name}, mon loyal vassal,","{name}, fedele membro vassallo,","Meşru vasalım {name},","{name}, törvényes hűbéresem!","{name}, мій законний васале!","{name}, chư hầu hợp pháp của tôi,"
hello.vassal.2,,Моему вассалу.,To my vassal:,To my vassal:,Mému vazalovi:,Ao meu vassalo:,A mi vasallo:,Do mego wasala:,致我的附庸：,致吾封臣：,我が臣下へ：,"봉신에게,",An meinen Vasallen:,"À mon vassal,","Diligente membro vassallo,",Vasalıma:,"Vazallusom,",Моєму васалу:,Đến chư hầu của tôi:
