Key,Russian,English,Comments,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,PLACEHOLDER,ZÁSTUPNÝ TEXT,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,TESTO PROVVISORIO,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER
PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,PLACEHOLDER,ZÁSTUPNÝ TEXT,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,TESTO PROVVISORIO,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER
tooltip.construction.place,Разместите объект,Place the object,,Place the object,Polož objekt,Coloque o objeto,Colocar el objeto,Umieść obiekt,放置对象,請放置建物,オブジェクトを配置,오브젝트 배치,Objekt platzieren,Placer l'élément,Colloca l'oggetto,Nesneyi yerleştir,Objektum lehelyezése,Розмістити об'єкт,Đặt đối tượng
tooltip.construction.rotate,Вращение,Rotate,,Rotate,Natočit,Girar,Girar,Obróć,旋转,旋轉,回転,회전,Drehen,Pivoter,Ruota,Döndür,Forgatás,Повернути,Xoay
tooltip.construction.cancel,Назад,Back,,Back,Zrušit,Voltar,Cancelar,Anuluj,返回,返回,戻る,뒤로,Zurück,Retour,Indietro,Geri,Mégse,Скасувати,Quay lại
pause_menu.back_to_main_menu,Главное Меню,Main Menu,,Main Menu,Hlavní nabídka,Menu principal,Menú principal,Menu główne,主菜单,主選單,メインメニュー,메인 메뉴,Hauptmenü,Menu principal,Menu principale,Ana Menü,Főmenü,Головне меню,Menu chính
pause_menu.load,Загрузить,Load,,Load,Načíst,Carregar,Cargar,Wczytaj,加载,讀檔,ロード,불러오기,Laden,Charger,Carica,Yükle,Betöltés,Завантажити,Tải
pause_menu.save,Сохранить,Save,,Save,Uložit,Salvar,Guardar,Zapisz,保存,存檔,セーブ,저장,Speichern,Sauvegarder,Salva,Kaydet,Mentés,Зберегти,Lưu
pause_menu.save_and_load,Загрузка и Сохранение,Load and Save,,Load and Save,Načíst a uložit,Carregar e salvar,Cargar y guardar,Wczytaj i zapisz,加载和保存,讀檔＆存檔,ロード＆セーブ,불러오기 및 저장,Laden und speichern,Charger et sauvegarder,Carica e salva,Yükle ve Kaydet,Betöltés és mentés,Завантажити й зберегти,Tải và Lưu
pause_menu.resume_game,Продолжить Игру,Continue Game,,Continue Game,Pokračovat ve hře,Continuar jogo,Continuar partida,Kontynuuj,继续游戏,繼續遊戲,ゲームを続ける,게임 계속하기,Spiel fortsetzen,Continuer la partie,Continua partita,Oyuna Devam Et,Játék folytatása,Продовжити гру,Tiếp tục Trò chơi
options_menu.audio.gui_volume,ГРОМКОСТЬ ИНТЕРФЕЙСА,GUI VOLUME,,GUI VOLUME,HLASITOST ROZHRANÍ,VOLUME DA INTERFACE,VOLUMEN: INTERFAZ GRÁFICA,GŁOŚNOŚĆ INTERFEJSU,界面音量,介面音量,GUI音量,GUI 볼륨,GUI-LAUTSTÄRKE,VOLUME INTERFACE,VOLUME INTERFACCIA GRAFICA,ARAYÜZ SES DÜZEYİ,KEZELŐFELÜLET HANGEREJE,ГУЧНІСТЬ ІНТЕРФЕЙСУ,ÂM LƯỢNG GUI
options_menu.audio.sounds_volume,ГРОМКОСТЬ ЗВУКА,SOUND VOLUME,,SOUND VOLUME,HLASITOST ZVUKŮ,VOLUME DOS EFEITOS,VOLUMEN: SONIDO,GŁOŚNOŚĆ DŹWIĘKÓW,声音音量,音效音量,サウンド音量,효과음 볼륨,SOUNDLAUTSTÄRKE,VOLUME AMBIANCE,VOLUME EFFETTI SONORI,ANA SES DÜZEYİ,HANGOK,ГУЧНІСТЬ ЗВУКІВ,ÂM LƯỢNG ÂM THANH
options_menu.audio.music_volume,ГРОМКОСТЬ МУЗЫКИ,MUSIC VOLUME,,MUSIC VOLUME,HLASITOST HUDBY,VOLUME DA MÚSICA,VOLUMEN: MÚSICA,GŁOŚNOŚĆ MUZYKI,音乐音量,音樂音量,BGM音量,음악 볼륨,MUSIKLAUTSTÄRKE,VOLUME MUSIQUE,VOLUME MUSICA,MÜZİK SES DÜZEYİ,ZENE,ГУЧНІСТЬ МУЗИКИ,ÂM LƯỢNG NHẠC
options_menu.audio,Аудио,Audio,,Audio,Zvuk,Áudio,Sonido,Dźwięk,音频,音訊,オーディオ,오디오,Audio,Audio,Audio,Ses,Hang,Звук,Âm thanh
