Key,Russian,English,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
f_name.gwelts.1,Ада,Ada,,Ada,,,,,,,,,,,,Ада,An Nhi
f_name.gwelts.2,Адела,Adela,,Adela,,,,,,,,,,,,Адела,Ánh Ngọc
f_name.gwelts.3,Айла,Aila,,Aila,,,,,,,,,,,,Айла,Anh Thư
f_name.gwelts.4,Альба,Alba,,Alba,,,,,,,,,,,,Альба,Ái Phương
f_name.gwelts.5,Альма,Alma,,Alma,,,,,,,,,,,,Альма,An Mai
f_name.gwelts.6,Альва,Alva,,Alva,,,,,,,,,,,,Альва,Anh Đào
f_name.gwelts.7,Аста,Asta,,Asta,,,,,,,,,,,,Аста,An Hòa
f_name.gwelts.8,Ава,Ava,,Ava,,,,,,,,,,,,Ейва,Ánh Tuyết
f_name.gwelts.9,Беата,Beata,,Beata,,,,,,,,,,,,Біата,An Khuê
f_name.gwelts.10,Берта,Berta,,Berta,,,,,,,,,,,,Берта,Anh Ngân
f_name.gwelts.11,Дагма,Dagma,,Dagma,,,,,,,,,,,,Даґма,An Bích
f_name.gwelts.12,Эда,Eda,,Eda,,,,,,,,,,,,Іда,Ái Linh
f_name.gwelts.13,Эдда,Edda,,Edda,,,,,,,,,,,,Едда,Anh Dung
f_name.gwelts.14,Эльза,Elsa,,Elsa,,,,,,,,,,,,Ельза,Ánh Vân
f_name.gwelts.15,Эльва,Elva,,Elva,,,,,,,,,,,,Ельва,An Thanh
f_name.gwelts.16,Фрида,Frida,,Frida,,,,,,,,,,,,Фріда,Anh Chi
f_name.gwelts.17,Герта,Gerta,,Gerta,,,,,,,,,,,,Ґерта,An Quỳnh
f_name.gwelts.18,Гисла,Gisla,,Gisla,,,,,,,,,,,,Ґізла,Ánh Hồng
f_name.gwelts.19,Хелла,Hella,,Hella,,,,,,,,,,,,Гелла,An Lê
f_name.gwelts.20,Хильда,Hilda,,Hilda,,,,,,,,,,,,Гільда,Ái Nhi
f_name.gwelts.21,Инга,Inga,,Inga,,,,,,,,,,,,Інґа,An Tâm
f_name.gwelts.22,Лене,Lene,,Lene,,,,,,,,,,,,Лене,Anh Hoàng
f_name.gwelts.23,Мен,Mina,,Mina,,,,,,,,,,,,Міна,Ánh Lan
f_name.gwelts.24,Несса,Nessa,,Nessa,,,,,,,,,,,,Несса,An Đan
f_name.gwelts.25,Ния,Nia,,Nia,,,,,,,,,,,,Ніа,Anh Thảo
